"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     
          0,           0,         401,      -7.019556161,      -5.718505936,      -5.970370645
          0,           0,         402,      -7.011975263,      -5.719314759,       -5.97039531
          0,           0,         403,      -7.003070898,      -5.720026228,       -5.97026034
          0,           0,         404,      -6.992544047,      -5.720572964,      -5.969940874
          0,           0,         405,      -7.000048098,      -5.721045049,      -5.971056914
          0,           0,         406,      -7.003037799,      -5.721306443,      -5.971610299
          0,           0,         407,      -7.005529198,      -5.721508538,      -5.971956995
          0,           0,         408,      -7.007854145,      -5.721663713,      -5.972173436
          0,           0,         409,      -7.009889731,      -5.721764283,      -5.972298857
          0,           0,         410,      -7.011423849,      -5.721806599,      -5.972361599
          0,           0,         411,      -7.012195357,      -5.721799166,      -5.972384513
